PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,OID,OAB,OABL,OTO,OT,GN,EDAT,MHDA,CRDT,PHST,PST,SO,RN,EIN,RF,AID,GR,TT,PMC,CI,CIN,LID,CN,CON,PS,FPS,DEP
3601599,NLM,MEDLINE,19870807,20041117,0031-5125 (Print) 0031-5125 (Linking),64,3 Pt 1,1987 Jun,Situational and trait determinants of competitive state anxiety.,767-73,"53 participants in a weekend tennis tournament completed the Competitive Short Form of the State Anxiety Inventory and questions about the specific situation (e.g., their chance of winning, presence of an audience) immediately before playing a tournament match. Immediately after the match participants completed outcome measures (e.g., win/loss, the impact of tension upon their performance). Two trait anxiety measures were given in a follow-up. Competitive trait anxiety from the Sport Competition Anxiety Test was the best predictor of state anxiety. Perceived chance of winning was the only situational factor which was significantly related to state anxiety. Match outcome was also more closely related to competitive trait anxiety than to state anxiety or generalized trait anxiety. The trait-anxiety measure which focused upon competition was a more useful predictor of state anxiety than the generalized measure, State-Trait Anxiety Inventory.","['Cooley, E J']",['Cooley EJ'],,['eng'],['Journal Article'],United States,Percept Mot Skills,Perceptual and motor skills,0401131,IM,"['Achievement', 'Adolescent', 'Adult', 'Anxiety/*psychology', '*Competitive Behavior', 'Female', 'Humans', 'Male', 'Middle Aged', '*Personality Tests', '*Social Environment', 'Tennis']",,,,,,,1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",ppublish,Percept Mot Skills. 1987 Jun;64(3 Pt 1):767-73. doi: 10.2466/pms.1987.64.3.767.,,,,['10.2466/pms.1987.64.3.767 [doi]'],,,,,,,,,,,
3323587,NLM,MEDLINE,19880311,20190912,0021-5236 (Print) 0021-5236 (Linking),58,2,1987 Jun,[Motives and interpersonal functions of aggression].,113-24,"In this review, the author theoretically and empirically examined motives and interpersonal functions of aggression. A factor-analysis of Averill's questionnaire items on anger revealed that motives involved in aggressive responses were clustered into two groups: the hostile and the instrumental. It was also clarified that an individual is likely to engage in aggression particularly when some hostile motives are evoked. Concerning the interpersonal functions, the author proposed that aggression might serve four principal goals. (1) Aggression can be generated as an avoidance response to an aversive stimulus, such as frustration, annoyance, or pain, and so on. It depends on the severity of the stimulus. It was however emphasized that aggression is also mediated by social cognition, such as an attribution of intent to a harm-doer. (2) Aggression can be used as a means of coercing the other person into doing something. An individual is likely to use such a power strategy if he/she is lacking in self-confidence or a perspective for influencing the target person by more peaceful strategies. (3) Aggression can be interpreted as a punishment when it is directed toward a transgressor. In this case, aggression is motivated by restoration of a social justice, and thus its intensity is determined by the perceived moral responsibility of the transgressor. Further, it was indicated that aggression is intensified if it is justified as a sanctional conduct against the immoral. (4) Aggression can be also evoked when an individual's social identity is threatened. It was suggested that impression management motives are involved in aggression by an unexpected finding that the presence of audience or the identifiability rather facilitated retaliative aggression. The aggression-inhibition effect of apology was also explained in terms of impression management. In conclusion, it was presented that aggression is a behavioral strategy as an attempt to resolve interpersonal conflicts including physical or psychological annoyance, the other person's disobedience, perceived injustice, and a threat to one's social identity. Whether one's aggression is performed or not depends on a number of intra- and inter-personal determinants, particularly on social cognitive processes such as attribution, inference, prediction and other judgements.","['Ohbuchi, K']",['Ohbuchi K'],"['Department of Psychology, Osaka University of Education.']",['jpn'],"['English Abstract', 'Journal Article', 'Review']",Japan,Shinrigaku Kenkyu,Shinrigaku kenkyu : The Japanese journal of psychology,0413571,IM,"['Aggression/*psychology', 'Anger', 'Coercion', 'Hostility', 'Humans', '*Interpersonal Relations', '*Motivation', 'Social Identification', 'Social Justice']",,,,,,,1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",ppublish,Shinrigaku Kenkyu. 1987 Jun;58(2):113-24. doi: 10.4992/jjpsy.58.113.,,,72,['10.4992/jjpsy.58.113 [doi]'],,,,,,,,,,,
10284405,NLM,MEDLINE,19871113,20140325,0001-8392 (Print) 0001-8392 (Linking),32,2,1987 Jun,"Costs, commitment, and rewards: factors influencing the design and implementation of internal labor markets.",202-21,"Much research on internal labor markets has been hampered by the failure to differentiate the wide variety of ILMs, by accounts of their determinants that too heavily emphasize isolated causal factors, by the lack of detailed material describing the economic and organizational dimensions of their design and implementation, and by the neglect of managerial perceptions of and motivations for constructing ILMs. This paper presents detailed case studies of three organizations that have constructed very different ILMs. Based on this material, a model of the determinants of ILMs is developed that centers around the concepts of costs, commitment, and rewards and that attempts to assess the interactions of effects of markets and hierarchies on ILMs. The model is built on the premise that the underlying imperatives typically held to affect ILMs are inevitably filtered through managerial beliefs and the constraints on managerial decision making. The implications of these findings for theory and research on ILMs are discussed.","['Bills, D B']",['Bills DB'],,['eng'],"['Comparative Study', 'Journal Article']",United States,Adm Sci Q,Administrative science quarterly,0240207,H,"['*Career Mobility', 'Hierarchy, Social', 'Industry', 'Models, Theoretical', 'Nursing Staff, Hospital/organization & administration', '*Personnel Management/*methods', 'Personnel Staffing and Scheduling/*methods', 'Reward', '*Staff Development', 'United States']",,,,,,,1987/05/10 00:00,1987/05/10 00:01,['1987/05/10 00:00'],"['1987/05/10 00:00 [pubmed]', '1987/05/10 00:01 [medline]', '1987/05/10 00:00 [entrez]']",ppublish,Adm Sci Q. 1987 Jun;32(2):202-21.,,,,,,,,,,,,,,,
12314997,PIP,MEDLINE,19881107,20181130,0186-7210 (Print) 0186-7210 (Linking),2,2,1987 May-Aug,[The evolution of employment in Mexico: 1895-1980].,"189-230, 381",,"['Rendon, T', 'Salas, C']","['Rendon T', 'Salas C']",,['spa'],['Journal Article'],Mexico,Estud Demogr Urbanos Col Mex,Estudios demograficos y urbanos,101084239,J,"['*Agriculture', 'Americas', 'Central America', '*Commerce', 'Demography', 'Developed Countries', 'Developing Countries', '*Economics', '*Employment', '*Health Workforce', '*Industry', 'Latin America', 'Mexico', 'North America', '*Occupations', 'Politics', 'Population', 'Population Characteristics', 'Population Dynamics', 'Population Growth', 'Public Policy', 'Sex Factors', '*Social Class', '*Social Planning', '*Socioeconomic Factors', 'Technology', '*Time', 'Time Factors', 'Transportation', '*Unemployment']","['IND: 8007712', 'PIP: 048043', 'POP: 00174934']","['Employment figures from the Mexican national census are the basis for this', 'analysis of employment changes in Mexico between 1895-1980. The work identifies', 'longterm trends in the volume and composition of employment and distinguishes 3', 'main periods in the evolution of employment. The first period, from 1895-1930,', 'marked the end of a stage of development lasting until about 1907 in which', ""sufficient internal stability was achieved to support Mexico's entrance into the"", 'world market. Export of agricultural products and metals was the principal focus', 'of economic growth. Construction of roads and railroads was a central element of', 'progress. But economic and social problems manifested in regional disparities,', 'concentration of wealth, conflicts between economic sectors, low pay for', 'agricultural workers, and fierce social and political control characterized the', 'period and culminated in the Mexican Revolution. After the first decade of the', '20th century the ability of the economy to absorb new workers began to decline,', 'and the falling of crude activity rates was not reversed until the 1940s. During', 'the 1920s, total employment increased less than 6%, reflecting a net increase of', '403,000 male workers and a decrease of 110,000 female workers. The second major', 'period of employment from 1930-1970 saw the change from an economy based on', 'export of primary products to one based on manufacturing for the internal market.', 'There were 2 subperiods, a stage of transition from 1930-50, the economy', 'registered marked fluctuations, but by the 1940s the consolidation of state power', 'and important reforms permitting expansion of the internal market were factors in', 'an accelerated growth of employment relative to the preceding intercensal period.', 'Despite considerable increases in agricultural employment, the relative share of', 'the agricultural sector in total employment was beginning a decline. Employment', 'registered the highest growth rates of the century in the 1940s and exceeded', 'population growth. The increased employment was explained by accelerated growth', 'and accumulation in manufacturing along with increases in commerce, services,', 'construction, and agriculture. From 1950-70, industrial development was', 'consolidated, and there was a generalized expansion in employment in', 'manufacturing as well as in the secondary and tertiary sectors. The economy was', 'less able to absorb new labor, primarily because the agricultural sector had', 'reached the limits of expansion in both the commercial and peasant sector by', '1965, at just the time that population growth was most rapid. During the 1970s,', 'manufacturing employment grew less rapidly because of modernization, almost', 'exclusive orientation to the internal market which limited expansion, and', 'scarcity of funds for importing capital goods. A new model of growth will be', 'needed if Mexico is to escape its present stagnation, and a significant share of', 'economic activity will need to be oriented to export. Until this process is', 'consolidated, the national economy is unlikely to show signs of sustained', 'recuperation.']",['eng'],['PIP'],"['*Agricultural Development', '*Agricultural Workers', '*Agriculture', 'Americas', '*Capital', 'Central America', '*Commerce', 'Demographic Factors', 'Developed Countries', 'Developing Countries', '*Development Planning', 'Development Policy', '*Economic Conditions', '*Economic Development', 'Economic Factors', '*Employment Status--changes', '*Employment--changes', '*Employment--determinants', '*Employment--history', '*Historical Survey', '*Human Resources', '*Industrialization', '*Industry', '*Labor Force--changes', 'Latin America', '*Longterm Effects', '*Macroeconomic Factors', '*Manpower Needs', 'Mexico', 'North America', '*Occupational Status', '*Occupations--changes', 'Policy', 'Political Factors', 'Population', 'Population Characteristics', 'Population Dynamics', 'Population Growth', '*Production', 'Rural Development', 'Sex Factors', '*Socioeconomic Factors', '*Socioeconomic Status', 'Technology', '*Tertiary Sector', 'Time Factors', 'Transportation', '*Unemployment']",['PIP: TJ: ESTUDIOS DEMOGRAFICOS Y URBANOS'],1987/05/01 00:00,2002/10/09 04:00,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,"Estud Demogr Urbanos Col Mex. 1987 May-Aug;2(2):189-230, 381.",,,,,,Evolucion del empleo en Mexico: 1895-1980.,,,,,,,,,
12268843,PIP,MEDLINE,19880502,20150901,0034-0111 (Print) 0034-0111 (Linking),45,3,1987 May-Jun,[Education and migration].,97-106,,"['Wagner, M']",['Wagner M'],,['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Raumforsch Raumordn,Raumforschung und Raumordnung,101084675,J,"['*Attitude', 'Behavior', 'Cohort Studies', 'Demography', 'Developed Countries', 'Economics', '*Education', '*Educational Status', '*Emigration and Immigration', '*Employment', 'Europe', '*Geography', 'Germany, West', '*Health Services Accessibility', '*Motivation', 'Population', '*Population Density', '*Population Dynamics', 'Psychology', '*Residence Characteristics', 'Social Class', '*Social Values', '*Socioeconomic Factors', '*Transients and Migrants']","['IND: 8006815', 'POP: 00170173']","['This is a study of the relationship between education and internal migration in', 'the Federal Republic of Germany, specifically the influence of educational level', 'on the likelihood and type of move. Theoretical considerations concern regional', 'variations in education and type of employment, feelings about location and', 'social factors, and values and awareness of options. The theory is applied to', 'people in the birth cohorts of 1929-1931, 1939-1941, and 1949-1951. Size of town', 'of origin, type of schooling and year completed, distance moved, and population', 'density of towns of origin and destination are among the factors examined. It is', 'found that level of education is a significant determinant of spatial mobility.', 'Results of the interplay of specific factors are discussed.']",['eng'],['PIP'],"['*Attitude', 'Behavior', 'Cohort Analysis', 'Comparative Studies', 'Demographic Factors', '*Destination', 'Developed Countries', '*Distance', 'Economic Factors', '*Education', '*Educational Status', '*Employment', 'Europe', '*Geographic Factors', '*Germany, Federal Republic Of', '*Information', '*Locale', 'Macroeconomic Factors', '*Migrants', '*Migration', '*Migration, Internal--determinants', '*Motivation', '*Origin', 'Population', '*Population Density', 'Population Dynamics', 'Psychological Factors', '*Residence Characteristics', '*Residential Mobility--determinants', '*Socioeconomic Factors', 'Socioeconomic Status', 'Spatial Distribution', '*Value Orientation', '*Western Europe']",['PIP: TJ: RAUMFORSCHUNG UND RAUMORDNUNG'],1987/05/01 00:00,2002/10/09 04:00,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Raumforsch Raumordn. 1987 May-Jun;45(3):97-106.,,,,,,Bildung und Migration.,,,,,,,,,
3619566,NLM,MEDLINE,19870831,20151119,0003-9764 (Print) 0003-9764 (Linking),44,5,1987 May,[Therapeutic and social determinants of the number of blood glucose tests performed at home by the diabetic child].,355-8,"The aim of this study was to assess the determinants of the use of blood glucose tests by young diabetic children participating in a summer educational program. 425 children and adolescents with insulin dependent diabetes mellitus (IDDM) were studied. The main source of the data was a questionnaire filled by the children and their parents about the use of urine and blood glucose tests during the 8 weeks before the camp and a questionnaire filled in by the Aide aux Jeunes Diabetiques (AJD) doctors about the practical knowledge of the management of the disease. The children were divided into 2 groups according to the level of their practical knowledge, ""good"" (n = 153) and ""less good"" (n = 272). In the whole group, the mean number of urine tests per day was 2.8, 75% of the children performing 3 tests per day and 4.3% not doing any urine tests. The number of blood tests is more variable; from 0 to 28 per week, with a mean of 5.6. In the group having ""good"" practical knowledge, the blood glucose tests were done 6 times per week, in connection with the number of hypoglycemia at home (p less than 0.01), the number of daily insulin injections (p less than 0.01) and the number of insulin supplements (p less than 0.05); there was a partial substitution between blood and urine tests. In the group having ""less good"" practical knowledge, the number of blood tests was 4 per week; it was not statistically different, but it was performed in the absence of detectable reasons.(ABSTRACT TRUNCATED AT 250 WORDS)","['Flori, Y', 'Desjeux, J F', 'Reach, G', 'Cahane, M']","['Flori Y', 'Desjeux JF', 'Reach G', 'Cahane M']",,['fre'],"['English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,IM,"['Blood Glucose/*analysis', 'Child', 'Child Behavior', 'Diabetes Mellitus, Type 1/*blood/psychology/therapy/urine', 'Female', 'Glycosuria/diagnosis', 'Humans', 'Male', 'Patient Education as Topic', '*Social Environment', 'Surveys and Questionnaires']",,,,,,,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1987 May;44(5):355-8.,['0 (Blood Glucose)'],,,,,Les determinants therapeutiques et sociaux du nombre des glycemies faites a la maison par l'enfant diabetique.,,,,,,,,,
3609410,NLM,MEDLINE,19870828,20181113,0070-3370 (Print) 0070-3370 (Linking),24,2,1987 May,Desired family size and its determinants among urban Nigerian women: a two-stage analysis.,279-90,"This paper proposes and carries out a two-stage analysis of the determinants of desired family size, using data gathered from a sample of women in the city of Ilorin, Nigeria. The analysis first focuses on differences between women who report numerical family size desires and those who report nonnumerical desires. Findings suggest that there are important differences between these two groups, but there is little variation in the actual number reported by those expressing numerical desires. Implications of these findings for survey design are discussed. In particular, the practice of forcing numerical responses by instructing interviewers to probe when women report nonnumerical desires is questioned.","['McCarthy, J', 'Oni, G A']","['McCarthy J', 'Oni GA']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Demography,Demography,0226703,IM,"['Data Collection', 'Educational Status', '*Family Characteristics', 'Female', 'Health Knowledge, Attitudes, Practice', 'Humans', 'Islam', 'Nigeria', 'Social Class', 'Urban Population']",,,,,,,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Demography. 1987 May;24(2):279-90.,,,,,,,,,,,,,,,
3585703,NLM,MEDLINE,19870701,20190824,0022-3514 (Print) 0022-3514 (Linking),52,5,1987 May,Personal and contextual determinants of coping strategies.,946-55,"This study examined personal and contextual predictors of active and avoidance coping strategies in a community sample of over 400 adults and in a sample of over 400 persons entering psychiatric treatment for unipolar depression. Sociodemographic factors of education and income (except for active-cognitive coping), personality dispositions of self-confidence and an easy-going manner, and contextual factors of negative life events and family support each made a significant incremental contribution to predicting active and avoidance coping. Among both healthy adults and patients, active and avoidance coping were positively associated with negative life events. Individuals who had more personal and environmental resources were more likely to rely on active coping and less likely to use avoidance coping. Moreover, for both groups, most of the predictors continued to show significant relations with active and avoidance coping strategies even after the stable component in coping was controlled in a longitudinal design. A comprehensive framework to understand the determinants of coping can be of practical value in suggesting points for therapeutic interventions aimed at fostering more adaptive coping efforts.","['Holahan, C J', 'Moos, R H']","['Holahan CJ', 'Moos RH']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pers Soc Psychol,Journal of personality and social psychology,0014171,IM,"['*Adaptation, Psychological', 'Adult', 'Defense Mechanisms', 'Depressive Disorder/*psychology', 'Female', 'Humans', 'Life Change Events', 'Male', 'Personality Tests', 'Self Concept', 'Social Support', 'Socioeconomic Factors']",,,,,,,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,J Pers Soc Psychol. 1987 May;52(5):946-55. doi: 10.1037//0022-3514.52.5.946.,,,,['10.1037//0022-3514.52.5.946 [doi]'],"['AA006699/AA/NIAAA NIH HHS/United States', 'AA02863/AA/NIAAA NIH HHS/United States']",,,,,,,,,,
25196925,NLM,PubMed-not-MEDLINE,20140909,20140908,0890-4065 (Print) 0890-4065 (Linking),1,1,1987 Spring,Old age security and the family life course: A case study of nineteenth-century mennonite immigrants to Kansas.,33-49,"According to life course analysis, age systems create socially recognized turning points, which outline life paths, channel people into positions and roles, and determine the distribution of rights and obligations. Yet few studies have examined these social parameters. Another problem with life course research is its ahistoricity. Even specifically historical studies have often been unable to measure the dynamics of change because of their use of cross-sectional household data, which only measures a small portion of kinship relations. This case study of the Mennonite family of Cornelius and Helena Richert Voth, who migrated from Russia to the Kansas Plains in 1874, analyzes the role that religious and ethnic traditions and inheritance rules play in preserving family stability, providing security in old age, and shaping the family life course. It contributes to our understanding of the social determinants of life course change by illustrating how traditional Mennonite patterns of family organization and property transmission, formed during centuries of community life in Prussia and Russia, shaped the timing of life course transitions and how the differing social, political, and economic conditions the immigrants encountered on the American frontier altered those traditional patterns.","['Quadagno, J', 'Janzen, J M']","['Quadagno J', 'Janzen JM']",,['eng'],['Journal Article'],England,J Aging Stud,Journal of aging studies,8916517,,,,,,,,,1987/04/01 00:00,1987/04/01 00:01,['2014/09/09 06:00'],"['2014/09/09 06:00 [entrez]', '1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]']",ppublish,J Aging Stud. 1987 Spring;1(1):33-49. doi: 10.1016/S0890-4065(87)80021-X. Epub 2007 Apr 13.,,,,"['S0890-4065(87)80021-X [pii]', '10.1016/S0890-4065(87)80021-X [doi]']",,,,['Copyright (c) 1987. Published by Elsevier Inc.'],,10.1016/S0890-4065(87)80021-X [doi],,,,,20070413
12341420,PIP,MEDLINE,19890209,20061115,0030-9729 (Print) 0030-9729 (Linking),26,1,1987 Spring,Seeking explanations for high levels of infant mortality in Pakistan.,55-70,,"['Sathar, Z A']",['Sathar ZA'],,['eng'],"['Comparative Study', 'Journal Article']",Pakistan,Pak Dev Rev,Pakistan development review,9878461,J,"['Asia', '*Behavior', '*Birth Intervals', '*Birth Order', 'Birth Rate', '*Child Care', '*Child Rearing', '*Contraception', '*Delivery of Health Care', 'Demography', 'Developing Countries', '*Economics', '*Family Characteristics', '*Family Planning Services', 'Family Relations', 'Fertility', '*Gender Identity', 'Health', '*Health Services', '*Health Services Accessibility', '*Infant Mortality', '*Knowledge', '*Lactation', '*Marriage', '*Mortality', 'Organization and Administration', 'Pakistan', 'Population', 'Population Dynamics', 'Program Evaluation', 'Psychology', 'Research', '*Sex', '*Social Behavior', 'Social Values', '*Socioeconomic Factors', 'Tetanus', ""*Women's Rights""]","['IND: 8006532', 'PIP: 047016', 'POP: 00177946']","['Data from the Fertility Module of the 1979 Population, Labour Force and Migration', '(PLM) Survey of Pakistan were analyzed to determine which of 4 factors were', 'primarily responsible for the high infant mortality rate. The factors examined', 'were poverty, childbearing and childrearing practices, distribution of health', 'care and lack of individual attention given to children due to ignorance. These', 'items were presented in a discussion format. Infant mortality in Pakistan is high', 'at about 125-140/1000, for a country with mid-level per capita income. Income was', 'not a good indicator of child mortality, primarily because it was difficult to', 'determine, particularly in rural areas where non-cash income predominates. Wealth', 'and status were good indicators of child survival. Child-rearing practices were', 'somewhat important, as judged by birth order, breastfeeding duration and gender.', 'Childbearing practices as shown by spacing were important determinants of', 'survival. Health care facilities were somewhat important, indicated by higher', 'mortality in rural areas. Rural neonates die from tetanus due to lack of', 'immunization, or later from diarrheal disease due to lack of potable water or', 'poor weaning practices. Maternal education was a strong indicator of survival,', 'much more so than paternal education. Similarly, female heads of households', 'increased survival, probably because they control financial allocations. The', 'study suggested that rather than attempting to eliminate poverty overall,', 'improvements in maternal education, nutrition, health care facilities and their', 'use, and childbearing and child-rearing methods would do more to improve child', 'survival in Pakistan.']",['eng'],['PIP'],"['Asia', '*Behavior', '*Birth Intervals', '*Birth Order', '*Birth Spacing', '*Child Care', '*Child Mortality', '*Child Rearing', 'Comparative Studies', '*Contraception', '*Delivery Of Health Care', 'Demographic Factors', 'Developing Countries', 'Economic Factors', '*Family And Household', '*Family Characteristics', '*Family Planning', '*Family Planning, Behavioral Methods', 'Family Relationships', 'Fertility', 'Fertility Measurements', '*Head Of Household', 'Health', '*Health Services', '*Households', '*Husband-wife Comparisons', '*Infant Mortality', '*Knowledge', '*Lactation, Prolonged', '*Microeconomic Factors', '*Mortality', 'Organization And Administration', 'Pakistan', 'Population', 'Population Dynamics', '*Program Accessibility', 'Program Evaluation', 'Programs', 'Psychological Factors', 'Research Methodology', '*Sex Preference', '*Sex Role', '*Social Behavior', '*Socioeconomic Factors', '*Southern Asia', 'Studies', 'Tetanus', 'Value Orientation', ""*Women's Status""]",['PIP: TJ: PAKISTAN DEVELOPMENT REVIEW'],1987/04/01 00:00,2002/10/09 04:00,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Pak Dev Rev. 1987 Spring;26(1):55-70.,,,,,,,,,,,,,,,
12315065,PIP,MEDLINE,19881213,20191027,0735-0007 (Print) 0735-0007 (Linking),5,2,1987 Apr,Influences on the timing of first childbearing.,113-22,"The author develops the hypothesis that women from different population subgroups respond differently to economic and background influences when timing initial childbearing. Data are taken from the National Longitudinal Survey of Labor Market Experience and concern some 5,000 U.S. women followed from 1968 to 1978. ""Among all groups examined, age at first birth tends to increase as education levels increase, and married women with spouses present tend to be older than other women at first childbirth. Among whites, all economic influences considered--hourly pay rate, nonmarket income, and work during the year prior to childbearing--have a significant influence in deferring first childbirth, but family background does not. Among blacks, family background plays a significant role in determining age at first childbirth, but only one economic influence--the hourly pay rate--is significant.""","['Maxwell, N L']",['Maxwell NL'],,['eng'],['Journal Article'],United States,Contemp Policy Issues,Contemporary policy issues,101085162,J,"['*African Americans', '*Age Factors', 'Americas', '*Birth Order', 'Birth Rate', '*Culture', 'Demography', 'Developed Countries', 'Developing Countries', 'Economics', '*Educational Status', '*Employment', '*Ethnic Groups', '*European Continental Ancestry Group', '*Family Characteristics', '*Fertility', 'Health Workforce', '*Income', '*Marital Status', 'Marriage', '*Maternal Age', 'North America', 'Parents', 'Population', 'Population Characteristics', 'Population Dynamics', 'Reproductive History', '*Salaries and Fringe Benefits', '*Sexual Behavior', 'Social Class', '*Socioeconomic Factors', 'United States']","['IND: 8007922', 'POP: 00175975']",,,['PIP'],"['*Age Factors', 'Americas', '*Blacks', '*Cultural Background', '*Delayed Childbearing', 'Demographic Factors', 'Developed Countries', 'Developing Countries', '*Differential Fertility--determinants', 'Economic Factors', '*Educational Status', '*Ethnic Groups', 'Family And Household', '*Family Characteristics', '*Fertility', 'Fertility Measurements', '*First Birth', 'Human Resources', '*Income', '*Labor Force', 'Macroeconomic Factors', '*Marital Status', '*Maternal Age', 'North America', '*Northern America', 'Nuptiality', 'Parental Age', 'Population', 'Population Characteristics', 'Population Dynamics', 'Pregnancy History', 'Reproductive Behavior', '*Socioeconomic Factors', 'Socioeconomic Status', 'United States', '*Wages', '*Whites']",['PIP: TJ: CONTEMPORARY POLICY ISSUES'],1987/04/01 00:00,2002/10/09 04:00,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Contemp Policy Issues. 1987 Apr;5(2):113-22. doi: 10.1111/j.1465-7287.1987.tb00260.x.,,,,['10.1111/j.1465-7287.1987.tb00260.x [doi]'],,,,['excerpt'],,,,,,,
12314668,PIP,MEDLINE,19871104,20181130,0197-9183 (Print) 0197-9183 (Linking),21,1,1987 Spring,Job transfers: a neglected aspect of migration in Malaysia.,86-95,"""This article examines the incidence of [job-related] transfers in Malaysia. The retrospective migration data from the Malaysia Family Life Survey [conducted in 1976-1977] are used to demonstrate that transfers comprise 18 percent of all migration in the country and that there has been a rise in the incidence of transfers over a 35 year period. Factors underlying this trend are outlined. Furthermore, significant differences in age, educational attainment and other characteristics between transferees and other types of migrants are identified and their implications discussed.""","['Menon, R']",['Menon R'],,['eng'],['Journal Article'],United States,Int Migr Rev,The International migration review,0253002,J,"['*Age Factors', 'Asia', 'Asia, Southeastern', 'Demography', 'Developing Countries', 'Economics', '*Educational Status', '*Emigration and Immigration', '*Employment', '*Health Workforce', '*Longitudinal Studies', 'Malaysia', 'Population', '*Population Characteristics', '*Population Dynamics', 'Research', '*Retrospective Studies', 'Social Class', '*Socioeconomic Factors', '*Transients and Migrants']","['CPC: S-13022-52-3', 'IND: 8005412', 'POP: 00166574']",,,['PIP'],"['*Age Factors', 'Asia', 'Demographic Factors', 'Developing Countries', 'Economic Factors', '*Educational Status', '*Employment Status', '*Human Resources', '*Labor Force', '*Longitudinal Studies', 'Malaysia', '*Manpower Needs', '*Migrants', '*Migration', '*Migration, Internal--determinants', 'Population', '*Population Characteristics', 'Population Dynamics', 'Research Methodology', '*Retrospective Studies', '*Socioeconomic Factors', 'Socioeconomic Status', '*Southeastern Asia', 'Studies']",['PIP: TJ: INTERNATIONAL MIGRATION REVIEW'],1987/04/01 00:00,2002/10/09 04:00,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '2002/10/09 04:00 [medline]', '1987/04/01 00:00 [entrez]']",ppublish,Int Migr Rev. 1987 Spring;21(1):86-95.,,,,,,,,['excerpt'],,,,,,,
